soc_code,title,dv_rating_beta,dv_rating_alpha,human_rating_beta,sml_score,gaia_e,group,median_annual_wage,employment,aei_task_success,aei_autonomy_pct
33-3011.00,Bailiffs,3.6,3.6,16.1,62.0,0.2657,Protective Service,,,,
33-3012.00,Correctional Officers and Jailers,26.1,22.7,23.9,60.4,0.3597,Protective Service,,,,
33-3021.00,Detectives and Criminal Investigators,31.7,10.0,30.0,,0.317,Protective Service,,,67.7,58.5
33-3021.02,Police Identification and Records Officers,34.6,7.7,34.6,57.2,0.3651,Protective Service,,,,
33-3021.06,Intelligence Analysts,52.9,8.8,39.7,68.8,0.5909,Protective Service,,,53.9,61.0
33-3031.00,Fish and Game Wardens,28.4,9.1,15.9,70.6,0.4892,Protective Service,,,,53.0
33-3041.00,Parking Enforcement Workers,32.1,17.9,32.1,57.5,0.3561,Protective Service,,,,
33-3051.00,Police and Sheriff's Patrol Officers,25.0,6.9,23.3,,0.25,Protective Service,,,73.4,52.5
33-3051.04,Customs and Border Protection Officers,45.2,28.6,26.2,,0.452,Protective Service,,,81.4,52.2
33-3052.00,Transit and Railroad Police,25.0,8.3,43.8,58.5,0.3322,Protective Service,,,,
33-9011.00,Animal Control Workers,35.0,26.7,13.3,61.9,0.4216,Protective Service,,,33.8,50.0
33-9021.00,Private Detectives and Investigators,38.9,7.4,38.9,56.6,0.3797,Protective Service,,,75.4,64.5
33-9031.00,Gambling Surveillance Officers and Gambling Investigators,43.8,25.0,31.2,60.6,0.4505,Protective Service,,,,
33-9032.00,Security Guards,16.7,16.7,25.0,67.7,0.3972,Protective Service,,,,
33-9091.00,Crossing Guards and Flaggers,10.5,5.3,26.3,59.0,0.2654,Protective Service,,,,
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",8.0,8.0,16.0,63.8,0.3085,Protective Service,,,86.1,60.5
33-9093.00,Transportation Security Screeners,26.0,0.0,23.0,59.8,0.3522,Protective Service,,,72.3,48.0
33-9094.00,School Bus Monitors,16.7,16.7,19.4,,0.167,Protective Service,,,,
33-9099.02,Retail Loss Prevention Specialists,37.8,9.8,34.1,65.2,0.4737,Protective Service,,,78.2,51.2
35-1011.00,Chefs and Head Cooks,26.2,9.5,26.2,59.5,0.3498,Food Preparation,,,83.0,63.5
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,51.1,22.2,25.6,66.7,0.5576,Food Preparation,,,92.8,66.8
35-2011.00,"Cooks, Fast Food",0.0,0.0,2.6,65.6,0.2894,Food Preparation,,,95.6,65.0
35-2012.00,"Cooks, Institution and Cafeteria",12.1,3.4,8.6,62.5,0.314,Food Preparation,,,86.3,61.0
35-2013.00,"Cooks, Private Household",24.0,16.0,28.0,50.9,0.2392,Food Preparation,,,74.4,57.0
35-2014.00,"Cooks, Restaurant",9.5,2.7,12.2,63.4,0.3114,Food Preparation,,,96.1,65.5
35-2015.00,"Cooks, Short Order",0.0,0.0,0.0,63.8,0.2685,Food Preparation,,,87.3,63.5
35-2021.00,Food Preparation Workers,3.7,1.9,4.6,61.1,0.2558,Food Preparation,,,90.9,58.8
35-3011.00,Bartenders,19.4,11.1,13.9,58.1,0.2996,Food Preparation,,,88.4,58.2
35-3023.00,Fast Food and Counter Workers,6.2,2.1,7.3,,0.062,Food Preparation,,,99.1,70.5
35-3023.01,Baristas,13.2,10.5,15.8,,0.132,Food Preparation,,,94.6,66.8
35-3031.00,Waiters and Waitresses,18.4,8.2,22.4,55.6,0.2656,Food Preparation,,,82.1,64.8
35-3041.00,"Food Servers, Nonrestaurant",13.0,7.4,11.1,52.5,0.2028,Food Preparation,,,,
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,0.0,0.0,0.0,59.9,0.2234,Food Preparation,,,,
35-9021.00,Dishwashers,0.0,0.0,0.0,65.0,0.2824,Food Preparation,,,95.0,58.8
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",22.9,5.7,32.9,58.3,0.3194,Food Preparation,,,,57.8
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,26.5,16.3,25.5,61.6,0.3756,Building & Grounds,,,71.3,56.5
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",35.5,14.5,24.5,65.0,0.4599,Building & Grounds,,,29.6,46.0
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",0.0,0.0,2.8,59.4,0.2176,Building & Grounds,,,,
37-2012.00,Maids and Housekeeping Cleaners,0.0,0.0,5.9,61.2,0.2384,Building & Grounds,,,,
37-2021.00,Pest Control Workers,25.0,16.7,22.9,65.3,0.4109,Building & Grounds,,,86.2,65.5
37-3011.00,Landscaping and Groundskeeping Workers,2.4,0.0,2.4,58.6,0.2204,Building & Grounds,,,91.0,61.3
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",5.6,0.0,5.6,61.6,0.271,Building & Grounds,,,,
37-3013.00,Tree Trimmers and Pruners,6.1,4.9,6.1,57.2,0.2226,Building & Grounds,,,,
39-1013.00,First-Line Supervisors of Gambling Services Workers,43.3,30.8,33.7,,0.433,Personal Care & Service,,,79.5,56.0
39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",36.8,15.8,34.2,,0.368,Personal Care & Service,,,79.9,57.2
39-1022.00,First-Line Supervisors of Personal Service Workers,41.4,10.3,36.2,,0.414,Personal Care & Service,,,85.3,58.8
39-2011.00,Animal Trainers,10.3,6.9,13.8,51.9,0.1823,Personal Care & Service,,,96.0,68.0
39-2021.00,Animal Caretakers,27.3,18.2,18.2,54.6,0.2986,Personal Care & Service,,,,
39-3011.00,Gambling Dealers,13.5,13.5,14.9,65.6,0.3568,Personal Care & Service,,,68.8,64.0
39-3012.00,Gambling and Sports Book Writers and Runners,26.9,23.1,23.1,,0.269,Personal Care & Service,,,,63.0
39-3021.00,Motion Picture Projectionists,18.2,9.1,7.6,56.5,0.275,Personal Care & Service,,,88.2,65.0
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",14.3,11.4,20.0,60.0,0.296,Personal Care & Service,,,,63.2
39-3091.00,Amusement and Recreation Attendants,21.2,19.2,36.5,62.9,0.3641,Personal Care & Service,,,64.0,54.5
39-3092.00,Costume Attendants,26.4,11.1,23.6,64.6,0.4098,Personal Care & Service,,,84.6,68.8
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",6.5,6.5,14.5,61.7,0.2767,Personal Care & Service,,,31.4,50.0
39-4011.00,Embalmers,4.0,4.0,4.0,63.7,0.2874,Personal Care & Service,,,,
39-4012.00,Crematory Operators,4.2,0.0,12.5,,0.042,Personal Care & Service,,,88.6,60.8
39-4021.00,Funeral Attendants,17.8,17.8,23.3,76.9,0.5092,Personal Care & Service,,,85.7,50.5
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",16.3,9.3,9.3,76.3,0.4947,Personal Care & Service,,,88.6,60.8
39-5011.00,Barbers,16.2,8.8,7.4,51.9,0.2118,Personal Care & Service,,,88.3,60.8
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",7.9,5.3,5.3,57.3,0.2328,Personal Care & Service,,,83.4,60.8
39-5091.00,"Makeup Artists, Theatrical and Performance",34.1,4.9,24.4,55.6,0.3441,Personal Care & Service,,,82.6,57.5
39-5092.00,Manicurists and Pedicurists,8.3,5.6,5.6,,0.083,Personal Care & Service,,,86.7,61.0
39-5093.00,Shampooers,14.3,14.3,7.1,56.9,0.2602,Personal Care & Service,,,83.0,67.8
39-5094.00,Skincare Specialists,19.7,6.1,10.6,61.0,0.3346,Personal Care & Service,,,85.8,64.8
39-6011.00,Baggage Porters and Bellhops,14.8,7.4,27.8,63.5,0.339,Personal Care & Service,,,68.5,55.0
39-6012.00,Concierges,46.7,13.3,70.0,60.6,0.465,Personal Care & Service,,,62.8,58.2
39-7011.00,Tour Guides and Escorts,26.9,15.4,34.6,,0.269,Personal Care & Service,,,73.3,56.0
39-7012.00,Travel Guides,38.0,16.0,40.0,63.4,0.4539,Personal Care & Service,,,73.7,62.0
39-9011.00,Childcare Workers,14.8,11.4,33.0,56.9,0.2626,Personal Care & Service,,,75.7,58.2
39-9011.01,Nannies,13.5,10.8,35.1,70.2,0.4101,Personal Care & Service,,,71.2,63.5
39-9031.00,Exercise Trainers and Group Fitness Instructors,1.5,0.0,23.5,61.3,0.2471,Personal Care & Service,,,92.4,66.2
39-9032.00,Recreation Workers,23.8,11.9,25.0,71.9,0.4812,Personal Care & Service,,,85.6,56.5
39-9041.00,Residential Advisors,24.0,10.0,28.0,72.1,0.4846,Personal Care & Service,,,69.6,55.0
41-1011.00,First-Line Supervisors of Retail Sales Workers,48.6,8.1,40.5,57.7,0.4409,Sales & Related,,,69.2,59.2
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,53.7,11.1,44.4,64.4,0.5439,Sales & Related,,,74.8,61.3
41-2011.00,Cashiers,20.9,14.0,36.0,66.1,0.3996,Sales & Related,,,71.5,46.5
41-2012.00,Gambling Change Persons and Booth Cashiers,26.2,23.8,31.0,57.2,0.3232,Sales & Related,,,,
41-2021.00,Counter and Rental Clerks,53.2,25.8,67.7,,0.532,Sales & Related,,,70.7,55.8
41-2022.00,Parts Salespersons,34.3,17.1,34.3,,0.343,Sales & Related,,,70.7,58.0
41-2031.00,Retail Salespersons,34.2,7.9,35.5,65.3,0.4569,Sales & Related,,,71.1,59.2
41-3011.00,Advertising Sales Agents,53.8,17.9,69.2,66.3,0.5664,Sales & Related,,,71.5,58.5
41-3021.00,Insurance Sales Agents,57.6,15.2,53.0,66.9,0.5924,Sales & Related,,,76.5,57.2
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",60.6,21.2,51.9,,0.606,Sales & Related,,,58.2,55.5
41-3041.00,Travel Agents,56.2,12.5,56.2,,0.562,Sales & Related,,,65.7,59.0
41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",63.3,33.3,56.7,,0.633,Sales & Related,,,97.0,51.5
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",53.5,15.8,57.0,65.0,0.5499,Sales & Related,,,72.1,55.5
41-4011.07,Solar Sales Representatives and Assessors,46.2,0.0,57.7,71.2,0.5852,Sales & Related,,,79.7,64.8
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",62.1,24.1,70.7,64.1,0.5825,Sales & Related,,,71.6,58.0
41-9011.00,Demonstrators and Product Promoters,12.8,5.1,39.7,65.0,0.3464,Sales & Related,,,67.1,58.2
41-9012.00,Models,23.3,13.3,40.0,60.3,0.3445,Sales & Related,,,,
41-9021.00,Real Estate Brokers,50.0,0.0,42.2,64.7,0.529,Sales & Related,,,71.5,55.8
41-9022.00,Real Estate Sales Agents,43.8,0.0,41.1,67.7,0.5326,Sales & Related,,,70.8,54.8
41-9031.00,Sales Engineers,51.1,15.9,53.4,58.1,0.458,Sales & Related,,,62.9,61.8
41-9041.00,Telemarketers,80.6,61.1,52.8,63.5,0.668,Sales & Related,,,85.1,58.8
41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",26.1,17.4,52.2,,0.261,Sales & Related,,,66.9,55.2
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,49.0,8.3,53.1,65.2,0.5297,Office & Admin Support,,,75.7,56.0
43-2011.00,"Switchboard Operators, Including Answering Service",62.9,51.6,48.4,61.6,0.5576,Office & Admin Support,,,68.0,48.5
43-2021.00,Telephone Operators,89.5,84.2,55.3,,0.895,Office & Admin Support,,,84.9,52.2
43-3011.00,Bill and Account Collectors,69.6,39.3,42.9,59.4,0.5656,Office & Admin Support,,,81.2,52.2
43-3021.00,Billing and Posting Clerks,77.4,69.0,41.7,,0.774,Office & Admin Support,,,64.6,49.3
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",80.2,60.5,31.4,71.2,0.7552,Office & Admin Support,,,68.3,50.7
43-3041.00,Gambling Cage Workers,41.9,38.7,41.9,80.6,0.6724,Office & Admin Support,,,57.2,55.8
43-3051.00,Payroll and Timekeeping Clerks,83.8,67.6,48.6,68.8,0.7454,Office & Admin Support,,,78.6,51.7
43-3061.00,Procurement Clerks,61.4,25.7,45.7,75.6,0.7121,Office & Admin Support,,,66.0,53.0
43-3071.00,Tellers,54.2,31.2,33.3,61.3,0.5106,Office & Admin Support,,,85.0,49.8
43-4011.00,Brokerage Clerks,76.7,53.3,80.0,,0.767,Office & Admin Support,,,82.2,50.7
43-4021.00,Correspondence Clerks,96.4,96.4,73.2,60.3,0.71,Office & Admin Support,,,76.2,50.0
43-4031.00,"Court, Municipal, and License Clerks",70.0,43.6,59.1,,0.7,Office & Admin Support,,,72.1,47.8
43-4041.00,"Credit Authorizers, Checkers, and Clerks",65.0,35.0,57.5,,0.65,Office & Admin Support,,,68.8,51.7
43-4051.00,Customer Service Representatives,56.8,13.6,70.5,64.7,0.5629,Office & Admin Support,,,74.3,49.8
43-4061.00,"Eligibility Interviewers, Government Programs",68.0,40.0,62.0,,0.68,Office & Admin Support,,,80.0,54.5
43-4071.00,File Clerks,79.4,67.6,47.1,68.1,0.7153,Office & Admin Support,,,64.3,49.0
43-4081.00,"Hotel, Motel, and Resort Desk Clerks",50.0,20.5,39.7,68.8,0.5764,Office & Admin Support,,,62.6,53.5
43-4111.00,"Interviewers, Except Eligibility and Loan",67.2,51.7,43.1,41.3,0.3441,Office & Admin Support,,,53.0,53.2
43-4121.00,"Library Assistants, Clerical",53.4,32.8,44.0,67.1,0.5737,Office & Admin Support,,,68.3,55.0
43-4131.00,Loan Interviewers and Clerks,59.4,18.8,50.0,68.1,0.6153,Office & Admin Support,,,75.3,50.2
43-4141.00,New Accounts Clerks,56.0,28.0,60.0,60.6,0.5115,Office & Admin Support,,,,
43-4151.00,Order Clerks,71.4,42.9,60.0,58.8,0.5676,Office & Admin Support,,,78.1,60.5
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",62.1,27.6,46.6,,0.621,Office & Admin Support,,,77.8,56.5
43-4171.00,Receptionists and Information Clerks,53.3,20.0,58.3,74.4,0.6577,Office & Admin Support,,,74.7,50.5
43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,45.7,11.4,52.9,64.4,0.504,Office & Admin Support,,,57.5,56.2
43-5011.00,Cargo and Freight Agents,47.0,24.2,27.3,64.1,0.507,Office & Admin Support,,,69.6,56.8
43-5011.01,Freight Forwarders,58.5,17.0,58.5,60.3,0.5205,Office & Admin Support,,,72.5,58.0
43-5021.00,Couriers and Messengers,31.0,24.1,15.5,64.7,0.4339,Office & Admin Support,,,60.4,59.8
43-5031.00,Public Safety Telecommunicators,65.6,40.6,59.4,68.8,0.6544,Office & Admin Support,,,65.4,51.5
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",67.4,34.8,65.2,68.1,0.6553,Office & Admin Support,,,84.3,56.5
43-5041.00,"Meter Readers, Utilities",43.7,33.3,35.4,,0.437,Office & Admin Support,,,,
43-5051.00,Postal Service Clerks,31.5,14.8,27.8,66.1,0.4526,Office & Admin Support,,,84.8,53.8
43-5052.00,Postal Service Mail Carriers,23.1,20.5,34.6,66.9,0.4199,Office & Admin Support,,,83.3,51.2
43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",10.0,10.0,12.5,60.3,0.278,Office & Admin Support,,,,
43-5061.00,"Production, Planning, and Expediting Clerks",59.6,26.9,51.9,,0.596,Office & Admin Support,,,76.4,51.5
43-5071.00,"Shipping, Receiving, and Inventory Clerks",50.0,28.6,35.7,76.2,0.662,Office & Admin Support,,,67.9,64.2
43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",29.3,20.7,27.6,63.3,0.4092,Office & Admin Support,,,81.4,50.0
43-6011.00,Executive Secretaries and Executive Administrative Assistants,64.9,37.8,74.3,73.8,0.7088,Office & Admin Support,,,73.3,52.2
43-6012.00,Legal Secretaries and Administrative Assistants,69.6,39.1,76.1,65.0,0.6304,Office & Admin Support,,,73.8,45.0
43-6013.00,Medical Secretaries and Administrative Assistants,66.7,33.3,61.1,,0.667,Office & Admin Support,,,74.2,57.0
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",64.4,38.5,56.7,63.8,0.5905,Office & Admin Support,,,63.1,52.5
43-9021.00,Data Entry Keyers,89.3,85.7,50.0,,0.893,Office & Admin Support,,,54.8,47.5
43-9022.00,Word Processors and Typists,74.3,70.3,48.6,66.7,0.6736,Office & Admin Support,,,73.2,44.0
43-9031.00,Desktop Publishers,64.5,32.3,48.4,62.5,0.576,Office & Admin Support,,,68.6,57.5
43-9041.00,Insurance Claims and Policy Processing Clerks,83.3,66.7,51.2,,0.833,Office & Admin Support,,,82.5,52.2
43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",21.6,10.8,12.2,65.6,0.3974,Office & Admin Support,,,,
43-9061.00,"Office Clerks, General",57.6,36.4,50.0,65.3,0.5739,Office & Admin Support,,,64.8,51.0
43-9071.00,"Office Machine Operators, Except Computer",39.7,29.4,17.6,75.2,0.599,Office & Admin Support,,,71.0,47.0
43-9081.00,Proofreaders and Copy Markers,97.5,95.0,60.0,,0.975,Office & Admin Support,,,78.1,49.5
43-9111.00,Statistical Assistants,89.1,82.6,67.4,69.7,0.7823,Office & Admin Support,,,65.0,52.8
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",28.1,14.0,15.8,,0.281,"Farming, Fishing & Forestry",,,93.1,44.8
45-2011.00,Agricultural Inspectors,29.2,8.3,29.2,57.9,0.3462,"Farming, Fishing & Forestry",,,83.3,54.8
45-2021.00,Animal Breeders,16.7,9.1,7.6,61.6,0.3266,"Farming, Fishing & Forestry",,,,
45-2041.00,"Graders and Sorters, Agricultural Products",10.0,10.0,5.0,60.3,0.278,"Farming, Fishing & Forestry",,,,
45-2091.00,Agricultural Equipment Operators,0.0,0.0,0.0,83.8,0.5,"Farming, Fishing & Forestry",,,,
45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",14.3,7.1,7.1,,0.143,"Farming, Fishing & Forestry",,,84.0,63.5
45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",6.2,0.0,7.8,57.7,0.2289,"Farming, Fishing & Forestry",,,,
45-3031.00,Fishing and Hunting Workers,4.4,0.0,0.9,,0.044,"Farming, Fishing & Forestry",,,,
45-4011.00,Forest and Conservation Workers,4.3,4.3,6.5,69.1,0.3514,"Farming, Fishing & Forestry",,,,
45-4021.00,Fallers,3.1,0.0,12.5,54.0,0.1706,"Farming, Fishing & Forestry",,,,
45-4022.00,Logging Equipment Operators,18.8,18.8,6.2,56.9,0.2826,"Farming, Fishing & Forestry",,,,
45-4023.00,Log Graders and Scalers,21.1,0.0,15.8,,0.211,"Farming, Fishing & Forestry",,,,
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,40.0,6.7,20.0,58.8,0.4106,Construction & Extraction,,,58.3,53.2
47-1011.03,Solar Energy Installation Managers,43.3,0.0,26.7,54.4,0.3762,Construction & Extraction,,,67.9,59.8
47-2011.00,Boilermakers,3.0,0.0,0.0,,0.03,Construction & Extraction,,,,
47-2021.00,Brickmasons and Blockmasons,3.8,0.0,0.0,52.8,0.1602,Construction & Extraction,,,,
47-2022.00,Stonemasons,0.0,0.0,0.0,54.7,0.1632,Construction & Extraction,,,,
47-2031.00,Carpenters,14.4,4.4,8.9,,0.144,Construction & Extraction,,,84.5,64.8
47-2041.00,Carpet Installers,6.2,0.0,3.1,61.9,0.2775,Construction & Extraction,,,,
47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",0.0,0.0,0.0,55.3,0.1702,Construction & Extraction,,,,
47-2043.00,Floor Sanders and Finishers,7.1,0.0,0.0,,0.071,Construction & Extraction,,,,
47-2044.00,Tile and Stone Setters,8.8,2.5,3.8,52.7,0.184,Construction & Extraction,,,69.2,56.8
47-2051.00,Cement Masons and Concrete Finishers,0.0,0.0,0.0,55.6,0.1736,Construction & Extraction,,,81.3,63.0
47-2053.00,Terrazzo Workers and Finishers,0.0,0.0,2.3,62.8,0.257,Construction & Extraction,,,78.9,63.2
47-2061.00,Construction Laborers,5.0,0.0,2.5,59.2,0.2403,Construction & Extraction,,,,58.0
47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",0.0,0.0,0.0,59.4,0.2176,Construction & Extraction,,,,
47-2072.00,Pile Driver Operators,0.0,0.0,0.0,,0.0,Construction & Extraction,,,,
47-2073.00,Operating Engineers and Other Construction Equipment Operators,5.4,4.3,8.7,60.4,0.2562,Construction & Extraction,,,,
47-2081.00,Drywall and Ceiling Tile Installers,4.2,0.0,2.1,59.2,0.2363,Construction & Extraction,,,76.5,53.8
47-2082.00,Tapers,0.0,0.0,0.0,,0.0,Construction & Extraction,,,95.0,71.2
47-2111.00,Electricians,14.6,9.8,14.6,,0.146,Construction & Extraction,,,84.1,59.8
47-2121.00,Glaziers,8.3,0.0,3.1,58.6,0.2498,Construction & Extraction,,,,53.8
47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",5.0,0.0,10.0,66.9,0.3294,Construction & Extraction,,,,
47-2132.00,"Insulation Workers, Mechanical",4.5,0.0,4.5,61.3,0.2621,Construction & Extraction,,,65.4,48.0
47-2141.00,"Painters, Construction and Maintenance",5.7,5.7,2.9,64.4,0.304,Construction & Extraction,,,81.4,61.5
47-2142.00,Paperhangers,2.7,0.0,0.0,62.5,0.267,Construction & Extraction,,,,
47-2151.00,Pipelayers,3.6,0.0,0.0,52.5,0.1558,Construction & Extraction,,,,
47-2152.00,"Plumbers, Pipefitters, and Steamfitters",10.2,3.7,5.6,,0.102,Construction & Extraction,,,70.2,56.0
47-2152.04,Solar Thermal Installers and Technicians,4.9,0.0,7.3,,0.049,Construction & Extraction,,,,
47-2161.00,Plasterers and Stucco Masons,7.7,7.7,3.8,,0.077,Construction & Extraction,,,,
47-2171.00,Reinforcing Iron and Rebar Workers,7.1,0.0,0.0,,0.071,Construction & Extraction,,,,
47-2181.00,Roofers,4.0,0.0,0.0,54.8,0.1843,Construction & Extraction,,,62.5,63.5
47-2211.00,Sheet Metal Workers,6.6,0.0,3.9,65.4,0.3201,Construction & Extraction,,,79.4,61.8
47-2221.00,Structural Iron and Steel Workers,2.9,0.0,0.0,60.9,0.2494,Construction & Extraction,,,50.0,52.5
47-2231.00,Solar Photovoltaic Installers,11.0,0.0,11.0,59.9,0.2784,Construction & Extraction,,,76.1,61.0
47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",0.0,0.0,0.0,,0.0,Construction & Extraction,,,,
47-3012.00,Helpers--Carpenters,0.0,0.0,0.0,57.2,0.1921,Construction & Extraction,,,,
47-3013.00,Helpers--Electricians,2.4,2.4,0.0,58.8,0.2226,Construction & Extraction,,,,
47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",0.0,0.0,0.0,,0.0,Construction & Extraction,,,,
47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",0.0,0.0,0.0,,0.0,Construction & Extraction,,,,
47-3016.00,Helpers--Roofers,0.0,0.0,0.0,,0.0,Construction & Extraction,,,,
47-4011.00,Construction and Building Inspectors,24.1,0.0,13.8,62.0,0.3682,Construction & Extraction,,,69.4,57.2
47-4011.01,Energy Auditors,42.7,0.0,42.7,,0.427,Construction & Extraction,,,83.3,63.5
47-4021.00,Elevator and Escalator Installers and Repairers,18.4,15.8,7.9,60.0,0.3166,Construction & Extraction,,,,
47-4031.00,Fence Erectors,5.1,5.1,2.6,71.2,0.3797,Construction & Extraction,,,,
47-4041.00,Hazardous Materials Removal Workers,8.1,3.2,3.2,66.9,0.3449,Construction & Extraction,,,78.6,54.2
47-4051.00,Highway Maintenance Workers,1.6,0.0,0.0,59.6,0.2279,Construction & Extraction,,,,
47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,0.0,0.0,0.0,56.9,0.1887,Construction & Extraction,,,,
47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,7.8,6.2,9.4,61.0,0.2751,Construction & Extraction,,,,
47-4091.00,Segmental Pavers,4.2,0.0,8.3,50.0,0.1298,Construction & Extraction,,,,
47-4099.03,Weatherization Installers and Technicians,20.0,15.0,20.0,53.1,0.2447,Construction & Extraction,,,79.4,58.8
47-5011.00,"Derrick Operators, Oil and Gas",0.0,0.0,0.0,57.5,0.1956,Construction & Extraction,,,,
47-5012.00,"Rotary Drill Operators, Oil and Gas",5.3,5.3,2.6,67.5,0.3379,Construction & Extraction,,,,
47-5013.00,"Service Unit Operators, Oil and Gas",6.5,6.5,14.5,63.8,0.301,Construction & Extraction,,,,
47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining",0.0,0.0,0.0,,0.0,Construction & Extraction,,,,
47-5023.00,"Earth Drillers, Except Oil and Gas",13.6,9.1,11.4,,0.136,Construction & Extraction,,,,
47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",13.5,12.5,11.5,,0.135,Construction & Extraction,,,,
47-5041.00,Continuous Mining Machine Operators,0.0,0.0,6.0,64.1,0.272,Construction & Extraction,,,,
47-5043.00,"Roof Bolters, Mining",0.0,0.0,0.0,,0.0,Construction & Extraction,,,,
47-5044.00,"Loading and Moving Machine Operators, Underground Mining",2.3,2.3,8.1,,0.023,Construction & Extraction,,,,
47-5051.00,"Rock Splitters, Quarry",7.7,0.0,7.7,,0.077,Construction & Extraction,,,,
47-5071.00,"Roustabouts, Oil and Gas",0.0,0.0,0.0,66.9,0.3044,Construction & Extraction,,,,
47-5081.00,Helpers--Extraction Workers,0.0,0.0,6.5,58.4,0.206,Construction & Extraction,,,,
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",41.0,2.6,26.9,62.3,0.4561,Installation & Repair,,,67.7,60.5
49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",36.7,28.6,20.4,,0.367,Installation & Repair,,,71.4,59.8
49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",10.7,4.8,8.3,62.5,0.307,Installation & Repair,,,72.7,59.0
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",28.1,23.4,20.3,60.1,0.3662,Installation & Repair,,,68.1,61.8
49-2091.00,Avionics Technicians,24.0,12.0,14.0,65.6,0.4094,Installation & Repair,,,,62.5
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",10.6,9.6,1.9,55.7,0.2278,Installation & Repair,,,72.8,63.2
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",24.0,16.0,16.0,62.7,0.3758,Installation & Repair,,,55.4,63.0
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",30.8,17.9,28.2,57.3,0.3473,Installation & Repair,,,80.0,61.0
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",34.0,24.0,16.0,66.5,0.4698,Installation & Repair,,,86.4,61.8
49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles",16.7,16.7,12.5,61.3,0.3231,Installation & Repair,,,,60.0
49-2097.00,Audiovisual Equipment Installers and Repairers,23.8,19.0,9.5,,0.238,Installation & Repair,,,76.1,62.5
49-2098.00,Security and Fire Alarm Systems Installers,16.7,6.7,18.3,,0.167,Installation & Repair,,,65.0,62.5
49-3011.00,Aircraft Mechanics and Service Technicians,13.4,9.0,6.0,55.0,0.2336,Installation & Repair,,,78.1,64.0
49-3021.00,Automotive Body and Related Repairers,4.3,0.0,4.3,55.0,0.1881,Installation & Repair,,,,
49-3022.00,Automotive Glass Installers and Repairers,0.0,0.0,0.0,62.5,0.2534,Installation & Repair,,,,
